2010,14.0.7235.5000,July 2019 CU,2019 July 9,SharePoint Foundation 2010,KB4475510
2010,14.0.7234.5000,June 2019 CU,2019 June 11,SharePoint Foundation 2010,N/A
2010,14.0.7233.5000,May 2019 CU,2019 May 14,SharePoint Foundation 2010,KB4464573
2010,14.0.7232.5000,April 2019 CU,2019 April 9,SharePoint Foundation 2010,KB4464528
2010,14.0.7231.5000,March 2019 CU,2019 March 12,SharePoint Foundation 2010,KB4462231
2010,14.0.7229.5000,February 2019 CU,2019 February 12,SharePoint Foundation 2010,KB4461630
2010,14.0.7228.5000,January 2019 CU,2019 January 8,SharePoint Foundation 2010,N/A
2010,14.0.7225.5000,December 2018 CU,2018 December 11,SharePoint Foundation 2010,KB4461580
2010,14.0.7224.5000,November 2018 CU,2018 November 13,SharePoint Foundation 2010,KB4011713
2010,14.0.7214.5000,October 2018 CU,2018 October 9,SharePoint Foundation 2010,N/A
2010,14.0.7213.5000,September 2018 CU,2018 September 11,SharePoint Foundation 2010,N/A
2010,14.0.7212.5000,August 2018 CU,2018 August 14,SharePoint Foundation 2010,N/A
2010,14.0.7210.5000,June 2018 CU,2018 June 12,SharePoint Foundation 2010,N/A
2010,14.0.7209.5000,May 2018 CU,2018 May 8,SharePoint Foundation 2010,N/A
2010,14.0.7197.5000,April 2018 CU,2018 April 10,SharePoint Foundation 2010,N/A
2010,14.0.7196.5000,March 2018 CU,2018 March 13,SharePoint Foundation 2010,N/A
2010,14.0.7192.5000,January 2018 CU,2018 January 9,SharePoint Foundation 2010,KB3141547
2010,14.0.7190.5000,November 2017 CU,2017 November 14,SharePoint Foundation  2010,N/A
2010,14.0.7189.5001,October 2017 CU,2017 October 10,SharePoint Foundation 2010,N/A
2010,14.0.7188.5001,September 2017 CU,2017 September 12,SharePoint Foundation 2010,N/A
2010,14.0.7186.5000,August 2017 CU,2017 August 8,SharePoint Foundation 2010,N/A
2010,14.0.7183.5000,July 2017 CU,2017 July 11,SharePoint Foundation 2010,N/A
2010,14.0.7182.5000,June 2017 CU,2017 June 13,SharePoint Foundation 2010,N/A
2010,14.0.7180.5001,April 2017 CU,2017 April 11,SharePoint Foundation 2010,N/A
2010,14.0.7179.5000,March 2017 CU,2017 March 14,SharePoint Foundation 2010,N/A
2010,14.0.7177.5000,December 2016 CU,2016 December 13,SharePoint Foundation 2010,KB3118391
2010,14.0.7176.5000,November 2016 CU,2016 November 8,SharePoint Foundation 2010,N/A
2010,14.0.7174.5001,October 2016 CU,2016 October 11,SharePoint Foundation 2010,N/A
2010,14.0.7173.5000,September 2016 CU,2016 September 13,SharePoint Foundation 2010,KB3115477
2010,14.0.7171.5002,July 2016 CU,2016 July 12,SharePoint Foundation 2010,KB3114890
2010,14.0.7170.5000,June 2016 CU,2016 June 14,SharePoint Foundation 2010,N/A
2010,14.0.7169.5000,May 2016 CU,2016 May 10,SharePoint Foundation 2010,N/A
2010,14.0.7168.5000,April 2016 CU,2016 April 12,SharePoint Foundation 2010,N/A
2010,14.0.7167.5000,March 2016 CU,2016 March 8,SharePoint Foundation 2010,KB3114886
2010,14.0.7166.5000,February 2016 CU,2016 February 9,SharePoint Foundation 2010,KB3114567
2010,14.0.7165.5000,January 2016 CU,2016 January 12,SharePoint Foundation 2010,N/A
2010,14.0.7164.5000,December 2015 CU,2015 December 8,SharePoint Foundation 2010,KB3114418
2010,14.0.7162.5000,November 2015 CU,2015 November 10,SharePoint Foundation 2010,KB3101547
2010,14.0.7160.5000,October 2015 CU,2015 October 13,SharePoint Foundation 2010,KB3085613
2010,14.0.7157.5001,September 2015 CU,2015 September 8,SharePoint Foundation 2010,KB3085530
2010,14.0.7155.5000,August 2015 CU,2015 August 11,SharePoint Foundation 2010,KB3055049
2010,14.0.7153.5000,July 2015 CU,2015 July 14,SharePoint Foundation 2010,KB3054983
2010,14.0.7153.5001,Project Server 2010,KB3054972,,
2010,14.0.7151.5001,June 2015 CU,2015 June 9,SharePoint Foundation 2010,KB3054847
2010,14.0.7149.5000,May 2015 CU,2015 May 12,SharePoint Foundation 2010,KB3017815
2010,14.0.7147.5000,April 2015 CU,2015 April 14,SharePoint Foundation 2010,KB2965241
2010,14.0.7145.5001,March 2015 CU,2015 March 10,SharePoint Foundation 2010,KB2956208
2010,14.0.7143.5001,February 2015 CU,2015 February 10,SharePoint Foundation 2010,KB2910904
2010,14.0.7140.5000,December 2014 CU,2014 December 9,SharePoint Foundation 2010,KB2899585
2010,14.0.7137.5000,November 2014 CU,2014 November 11,SharePoint Foundation 2010,KB2889933
2010,14.0.7134.5000,October 2014 HOTFIX,2014 October 14,SharePoint Foundation 2010,N/A
2010,14.0.7132.5000,September 2014 CU,2014 September 9,SharePoint Foundation 2010,KB2889932
2010,14.0.7130.5000,August 2014 HOTFIX,2014 August 12,SharePoint Foundation 2010,KB2889825
2010,14.0.7128.5001,July 2014 CU,2014 July 8,SharePoint Foundation 2010,KB2883026
2010,14.0.7125.5002,June 2014 CU,2014 June 10,SharePoint Foundation 2010,KB2880975
